cadena_id,cadena,siglas,nombre_tienda,dimension,mediciones,promedio
1,Zorro Abarrotero,ZAG,Zorro Aragón,Atención en cajas,3,100.00
1,Zorro Abarrotero,ZAL,Zorro Alta Tensión,Atención en cajas,3,100.00
1,Zorro Abarrotero,ZCA,Zorro Central C47,Atención en cajas,3,100.00
1,Zorro Abarrotero,ZN2,Zorro Nicolás Romero 2,Atención en cajas,3,100.00
1,Zorro Abarrotero,ZPC,Zorro Paseo Chalco,Atención en cajas,3,100.00
1,Zorro Abarrotero,ZQ6,Zorro Central Q6,Atención en cajas,3,100.00
1,Zorro Abarrotero,ZAP,Zorro Aeropuerto,Atención en cajas,3,97.00
1,Zorro Abarrotero,ZH2,Zorro Central H2,Atención en cajas,3,97.00
1,Zorro Abarrotero,ZIZ,Zorro Izcalli,Atención en cajas,3,97.00
1,Zorro Abarrotero,ZTY,Zorro Tulyehualco,Atención en cajas,3,97.00
1,Zorro Abarrotero,ZV2,Zorro Valle de Chalco 2,Atención en cajas,3,97.00
1,Zorro Abarrotero,FAX,Flecha Abarrotera Xochimilco,Atención en cajas,3,96.97
1,Zorro Abarrotero,ZRO,Zorro Roldán,Atención en cajas,3,96.97
1,Zorro Abarrotero,ZA2,Zorro Alta Tensión 2,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZA3,Zorro Alta Tensión 3,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZAM,Zorro Amecameca,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZAN,Zorro Atizapán 2,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZEC,Zorro Ecatepec,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZJI,Zorro Jiutepec,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZTE,Zorro Texcoco 2,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZVM,Zorro Vía Morelos,Atención en cajas,3,94.00
1,Zorro Abarrotero,ZCM,Zorro Chimalhuacán,Atención en cajas,3,93.97
1,Zorro Abarrotero,ZIG,Zorro Iguala,Atención en cajas,3,93.97
1,Zorro Abarrotero,ZCO,Zorro Contreras,Atención en cajas,3,93.94
1,Zorro Abarrotero,ZCN,Zorro Cuautitlán,Atención en cajas,3,91.00
1,Zorro Abarrotero,ZE9,Zorro Central E9,Atención en cajas,3,91.00
1,Zorro Abarrotero,ZHH,Zorro Huehuetoca,Atención en cajas,3,91.00
1,Zorro Abarrotero,ZMI,Zorro Minas,Atención en cajas,2,91.00
1,Zorro Abarrotero,ZNZ,Zorro Nezahualcóyotl,Atención en cajas,3,91.00
1,Zorro Abarrotero,ZRH,Zorro Río Hondo,Atención en cajas,3,91.00
1,Zorro Abarrotero,ZTM,Zorro Tecámac 2,Atención en cajas,3,91.00
1,Zorro Abarrotero,PSU,Cazador Santa Úrsula,Atención en cajas,3,90.97
1,Zorro Abarrotero,ZCP,Zorro Carrillo Puerto,Atención en cajas,3,90.97
1,Zorro Abarrotero,ZCU,Zorro Cuautepec,Atención en cajas,3,90.97
1,Zorro Abarrotero,ZCV,Zorro Calzada La Viga,Atención en cajas,3,90.97
1,Zorro Abarrotero,ZRY,Zorro Reyes,Atención en cajas,3,90.97
1,Zorro Abarrotero,ZTN,Zorro Tenayuca,Atención en cajas,3,90.97
1,Zorro Abarrotero,ZVV,Zorro Vicente Villada,Atención en cajas,3,90.97
1,Zorro Abarrotero,ZM2,Zorro Peñón,Atención en cajas,3,90.94
1,Zorro Abarrotero,ZOC,Zorro Coacalco,Atención en cajas,3,90.94
1,Zorro Abarrotero,ZCC,Zorro Carretera Cuernavaca,Atención en cajas,3,90.91
1,Zorro Abarrotero,ZCE,Zorro Centenario,Atención en cajas,3,90.91
1,Zorro Abarrotero,ZET,Zorro Ermita Iztapalapa 2,Atención en cajas,3,90.91
1,Zorro Abarrotero,ZTX,Zorro Texcoco,Atención en cajas,3,90.91
1,Zorro Abarrotero,ZOZ,Zorro Ozumba,Atención en cajas,3,88.00
1,Zorro Abarrotero,ZVC,Zorro Valle de Chalco,Atención en cajas,3,88.00
1,Zorro Abarrotero,ZAZ,Zorro Cien Metros,Atención en cajas,3,87.97
1,Zorro Abarrotero,ZES,Zorro Estacas,Atención en cajas,3,87.97
1,Zorro Abarrotero,ZJR,Zorro San Juan del Río,Atención en cajas,3,87.97
1,Zorro Abarrotero,ZAC,Zorro Avenida Central,Atención en cajas,3,87.94
1,Zorro Abarrotero,ZAT,Zorro Atizapán,Atención en cajas,3,87.94
1,Zorro Abarrotero,ZCL,Zorro Chalco,Atención en cajas,3,87.94
1,Zorro Abarrotero,ZE3,Zorro Ecatepec 3,Atención en cajas,3,87.94
1,Zorro Abarrotero,ZER,Zorro Ermita Iztapalapa,Atención en cajas,3,87.94
1,Zorro Abarrotero,ZNR,Zorro Nicolás Romero,Atención en cajas,3,87.94
1,Zorro Abarrotero,ZTU,Zorro Tulancingo,Atención en cajas,3,87.94
1,Zorro Abarrotero,ZLG,Zorro Lago de Guadalupe,Atención en cajas,3,84.97
1,Zorro Abarrotero,ZC2,Zorro Contreras 2,Atención en cajas,3,84.94
1,Zorro Abarrotero,ZPA,Zorro Pantitlán,Atención en cajas,3,84.94
1,Zorro Abarrotero,ZSJ,Zorro San Juanico,Atención en cajas,3,84.91
1,Zorro Abarrotero,ZE2,Zorro Ecatepec 2,Atención en cajas,3,84.85
1,Zorro Abarrotero,ZFR,Zorro San Francisco del Rinćon,Atención en cajas,1,82.00
1,Zorro Abarrotero,ZLN,Zorro León,Atención en cajas,3,81.91
1,Zorro Abarrotero,ZTT,Zorro Tultitlán,Atención en cajas,3,79.00
1,Zorro Abarrotero,ZTC,Zorro Tecámac,Atención en cajas,3,78.82
1,Zorro Abarrotero,ZT1,Zorro Toluca 1,Atención en cajas,3,78.79
1,Zorro Abarrotero,ZL2,Zorro Campestre,Atención en cajas,3,78.67
1,Zorro Abarrotero,ZPI,Zorro Picacho,Atención en cajas,3,78.67
1,Zorro Abarrotero,ZCJ,Zorro Cuajimalpa,Atención en cajas,3,75.64
1,Zorro Abarrotero,CNA,Cazador Comercial Naucalpan,Atención en cajas,3,72.67
1,Zorro Abarrotero,ZAR,Zorro Armas,Atención en cajas,2,64.00
1,Zorro Abarrotero,CCA,Cazador Comercial,Atención en cajas,3,63.64
1,Zorro Abarrotero,ZIR,Zorro Irapuato,Atención en cajas,3,63.61
1,Zorro Abarrotero,ZTL,Zorro Tlalnepantla,Atención en cajas,4,63.55
1,Zorro Abarrotero,ZT2,Zorro Toluca 2,Atención en cajas,3,60.76
1,Zorro Abarrotero,ZIX,Zorro Ixtapaluca,Atención en cajas,3,60.55
1,Zorro Abarrotero,ZCH,Zorro Chicoloapan,Atención en cajas,3,57.33
1,Zorro Abarrotero,ZQR,Zorro Querétaro,Atención en cajas,3,54.61
1,Zorro Abarrotero,ZPR,Zorro Primavera,Atención en cajas,3,45.30
1,Zorro Abarrotero,ZPC,Zorro Paseo Chalco,Calificación Total,3,95.00
1,Zorro Abarrotero,ZM2,Zorro Peñón,Calificación Total,3,94.33
1,Zorro Abarrotero,ZN2,Zorro Nicolás Romero 2,Calificación Total,3,94.33
1,Zorro Abarrotero,ZMI,Zorro Minas,Calificación Total,2,94.00
1,Zorro Abarrotero,ZNR,Zorro Nicolás Romero,Calificación Total,3,94.00
1,Zorro Abarrotero,ZAG,Zorro Aragón,Calificación Total,3,93.67
1,Zorro Abarrotero,ZCL,Zorro Chalco,Calificación Total,3,93.33
1,Zorro Abarrotero,ZVM,Zorro Vía Morelos,Calificación Total,3,93.33
1,Zorro Abarrotero,PSU,Cazador Santa Úrsula,Calificación Total,3,92.33
1,Zorro Abarrotero,ZOC,Zorro Coacalco,Calificación Total,3,91.67
1,Zorro Abarrotero,ZAP,Zorro Aeropuerto,Calificación Total,3,90.67
1,Zorro Abarrotero,ZAN,Zorro Atizapán 2,Calificación Total,3,90.33
1,Zorro Abarrotero,ZCE,Zorro Centenario,Calificación Total,3,90.33
1,Zorro Abarrotero,ZTE,Zorro Texcoco 2,Calificación Total,3,90.00
1,Zorro Abarrotero,ZC2,Zorro Contreras 2,Calificación Total,3,89.33
1,Zorro Abarrotero,ZNZ,Zorro Nezahualcóyotl,Calificación Total,3,89.33
